Table S6. Calvin cycle,,,,,,,,,,,,,,,,
,,,,Calvin cycle,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,fbaA,fbaB,gap,glpX,pkg,rpe,prk,rbcL,rbcS,rpiA,rpiB,tktA,tpiA
Anabaena_cylindrica_PCC_7122,F,64,F,1,1,3,2,6,1,1,1,1,1,0,5,1
Anabaena_sp._90,F,64,F,0,1,3,2,3,1,1,1,1,1,0,4,1
Anabaena_sp._PCC_7108,M,64,F,0,1,2,2,2,1,1,1,1,1,0,3,1
Anabaena_variabilis_ATCC_29413,F,64,F,1,1,3,2,1,1,1,1,1,1,0,4,1
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,0,1,3,2,1,2,1,1,1,1,0,3,1
Aphanizomenon_flos-aquae_NIES-81,F,46,F,0,1,3,2,1,1,1,1,1,1,0,4,1
Arthrospira_platensis_C1,A,1,O,0,1,2,2,2,1,1,1,1,1,0,3,1
Calothrix_sp._PCC_6303,F,0,N,0,1,3,2,7,1,2,2,1,1,0,3,1
Calothrix_sp._PCC_7103,F,0,N,1,2,3,2,5,1,1,2,1,1,0,4,1
Calothrix_sp._PCC_7507,F,0,N,1,1,3,2,2,1,1,1,1,1,0,4,1
Chamaesiphon_minutus_PCC_6605,F,0,N,3,1,3,1,3,1,1,1,1,1,0,3,1
Crocosphaera_watsonii_WH_0003,M,0,N,1,1,2,2,1,1,1,1,1,0,0,2,2
Crocosphaera_watsonii_WH_0005,M,0,N,1,1,2,2,1,1,1,0,1,1,0,1,1
Crocosphaera_watsonii_WH_0401,M,0,N,1,1,2,2,1,1,1,1,1,1,0,2,1
Crocosphaera_watsonii_WH_0402,M,0,N,1,1,2,2,1,1,1,1,1,1,0,1,1
Crocosphaera_watsonii_WH_8501,M,0,N,1,1,2,2,1,1,1,1,1,1,0,3,1
Crocosphaera_watsonii_WH_8502,M,0,N,1,1,2,2,1,1,1,1,1,1,0,1,1
Cyanothece_sp._ATCC_51142,M,3,O,1,1,2,2,1,1,1,1,1,1,0,3,1
Cyanothece_sp._ATCC_51472,M,3,O,1,1,3,2,1,1,1,1,1,1,0,3,1
Cyanothece_sp._PCC_7425,F,3,O,2,3,5,4,5,2,2,3,2,2,0,7,2
Cyanothece_sp._PCC_7822,F,3,O,1,1,2,2,6,1,2,2,1,1,0,3,1
Cyanothece_sp._PCC_8801,F,3,O,0,1,2,2,4,1,1,1,1,1,0,2,1
Cyanothece_sp._PCC_8802,F,3,O,0,1,2,2,4,1,1,1,1,1,0,2,1
